"V1","B1_4_7","B5_4_7","L_4_7","loc.B5_4_7","B1_B5_angle_4_7","NPA_1","NPA_3","NPA_2","NPA_18","NPA_27","NPA_29","diff_NBO_1_3","diff_NBO_2_18","diff_NBO_27_29","dip_x_1","dip_y_1","dip_z_1","Total_1","dip_x_2","dip_y_2","dip_z_2","-1-3-","-2-18-","-27-29-","cross_1","cross.angle_1","para_1","para.angle_1","-5V6-","-23V24-","-25V26-","Dihedral(1_4_7_8)","Dihedral(1_2_19_27)","Dist(1, 3)","Dist(2, 18)","Dist(27, 29)","output"
"m_Br",1.76,4.77,6.5,4.55,94,0.69321,-0.63651,-0.60024,0.40586,0.7908,-0.56048,1.32972,-1.0061,1.35128,1.2913,-3.4829,-1.3952,3.9679,0.6052,-1.457,-3.6408,1780.0126,3680.9291,1906.1126,1644.1368,84.4572335670621,1668.5761,3.18883942459912,1484.7657,1492.6378,1528.6625,114.928737980591,56.4588838917564,1.21604892344099,1.00466233086844,1.19087650870315,58
"m_CF3",1.88,4.77,7.01,3.99,118,0.69428,-0.6378,-0.59853,0.40622,0.79047,-0.5604,1.33208,-1.00475,1.35087,0.7976,-2.4278,-1.5341,2.9806,0.7534,-0.5074,-2.8388,1779.9752,3681.5698,1906.5112,1672.4036,54.9586855475911,1689.1293,34.4547442739901,1483.7552,1491.2835,1529.1898,113.403610838599,55.9879461140241,1.21600663651396,1.00467755777214,1.19088008342318,86
"m_CF3_p_F",1.91,4.9,6.96,3.56,101,0.6932,-0.63915,-0.59646,0.40591,0.79047,-0.56105,1.33235,-1.00237,1.35152,1.7335,0.5469,-1.8013,2.559,2.0852,-1.1782,-0.9014,1779.9655,3678.9349,1905.8109,1674.8644,53.1816935377794,1700.1045,37.0129467790644,1475.8495,1492.1499,1529.511,112.211575240639,54.8873247815455,1.21566309145009,1.00478325974411,1.19102488600407,78
"m_Cl",1.72,4.48,6.39,4.47,92,0.69317,-0.63663,-0.60054,0.40594,0.79092,-0.56022,1.3298,-1.00648,1.35114,1.0917,-3.7793,-1.416,4.1809,0.5942,-1.5582,-3.8339,1779.8239,3680.5864,1906.0999,1649.372,89.1268131096969,1670.7302,1.32520668937808,1484.639,1489.8828,1527.6654,117.616617966404,56.7098775436253,1.2162234887902,1.00470151178845,1.19083665326988,65
"m_F",1.7,3.67,6.39,4.27,90,0.69312,-0.63582,-0.60117,0.40569,0.79107,-0.5602,1.32894,-1.00686,1.35127,1.0787,-4.0451,-1.3333,4.3937,0.5396,-1.7466,-3.9953,1780.0851,3678.362,1906.2343,1670.6428,87.4027922396826,1687.3332,1.38657084350999,1483.7449,1491.9081,1526.4382,118.076466084144,56.7901685679258,1.21613704186411,1.00470108024925,1.19082064444021,63
"m_I",1.82,5.14,6.8,4.65,96,0.69329,-0.63703,-0.60028,0.40603,0.79106,-0.56019,1.33032,-1.00631,1.35125,1.3141,-3.7401,-1.399,4.2039,0.5835,-1.6595,-3.8181,1779.7683,3680.9317,1906.6158,1639.058,84.2572133125829,1663.313,2.66774330894336,1483.5134,1492.2353,1527.1178,116.82065944723,56.5089279702733,1.2162466713825,1.00467658311618,1.19080856609532,78
"m_Me",1.71,4.39,6.37,3.71,82,0.69295,-0.62961,-0.61338,0.41459,0.79477,-0.57736,1.32256,-1.02797,1.37213,-3.5885,-0.4618,-2.5443,4.4232,1.1428,-2.9017,-3.1366,1784.7011,3641.1705,1892.5596,1662.9529,61.303252246215,1681.7593,28.9370164996611,1459.6441,1491.2711,1528.7945,47.9895069841618,52.6231273909545,1.21557088297516,1.00781531519669,1.19349647516907,78
"m_OMe",1.72,4.56,7.08,5.83,93,0.69146,-0.64018,-0.60585,0.41993,0.79193,-0.56279,1.33164,-1.02578,1.35472,-3.9349,-5.4654,-0.3183,6.7421,0.584,-5.0915,-4.3808,1772.6665,3652.9627,1904.6147,1656.6156,71.5271581017058,1683.7536,19.3121386258353,1462.2943,1491.1134,1531.3081,86.4830652801384,54.7967474177918,1.21667854897586,1.00657588785794,1.19113762462866,71
"m_SMe",1.74,4.51,7.62,4.35,94,0.69118,-0.63916,-0.60569,0.41961,0.79194,-0.56253,1.33034,-1.0253,1.35447,-4.4332,-5.217,-0.401,6.8579,0.5452,-4.8518,-4.816,1773.5679,3656.4476,1904.7325,1643.135,74.7164176201504,1667.8939,17.5878883636951,1462.8672,1490.6248,1524.3913,85.9327682453166,54.6565685720749,1.21648403105178,1.00651988998926,1.19108163100981,93
"mp_Cl",1.75,4.51,7.82,4.44,91,0.69424,-0.6375,-0.59879,0.4059,0.79039,-0.56051,1.33174,-1.00469,1.3509,1.8976,-1.7083,-1.7084,3.0721,1.2933,-1.7085,-2.2015,1779.1785,3680.858,1906.0089,1634.1426,82.2624680935151,1666.1472,9.93362171652427,1482.9102,1492.2482,1529.8861,116.176052537627,55.9713183635283,1.21601529000009,1.00467982599085,1.19090914873386,39
